iter	Passed	Remaining
0	5	248
1	9	226
2	13	210
3	17	203
4	21	195
5	25	187
6	29	180
7	33	174
8	36	168
9	40	162
10	43	155
11	47	150
12	51	145
13	54	139
14	57	134
15	61	129
16	64	124
17	67	120
18	70	115
19	74	111
20	77	107
21	81	103
22	84	99
23	87	95
24	91	91
25	94	87
26	97	82
27	100	79
28	104	75
29	107	71
30	110	67
31	114	64
32	117	60
33	121	57
34	124	53
35	127	49
36	131	46
37	135	42
38	139	39
39	142	35
40	146	32
41	149	28
42	153	25
43	155	21
44	159	17
45	162	14
46	166	10
47	169	7
48	173	3
49	176	0
